line_index,Z,symbol,transition,level,seat_i,seat_j,static_distance_m,static_radial_projection_m,lane_cosine,swept_mean_inverse_distance_m-1,swept_min_distance_m,swept_max_distance_m,swept_distance_variance_m2
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,10,27,4.267114184392646e-11,3.765320635110363e-11,-0.5773502691896257,30108971173.972145,2.1371030046187878e-11,4.769862346531056e-11,8.433837482064521e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,10,28,4.396930529718783e-11,-4.396930529718783e-11,1.0,15313122651.237377,4.3969305297187826e-11,9.088338108445621e-11,2.687417951945158e-22
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,10,29,9.088338108445621e-11,9.088338108445621e-11,-1.0,15313122651.237373,4.3969305297187826e-11,9.088338108445621e-11,2.6874179519451556e-22
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,11,12,3.464497034746847e-11,2.3457037893634188e-11,0.0,58168133881.33398,5.813121346881591e-12,3.505967363231798e-11,9.577107340057532e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,11,13,3.4644970347468476e-11,2.3457037893634188e-11,0.0,26156263200.009827,3.088866721604228e-11,4.636268001091497e-11,2.974137421305053e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,11,14,3.4655061986482285e-11,2.3457037893634188e-11,0.0,26148720829.082695,3.0897843456530473e-11,4.637572560833804e-11,2.97562671372596e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,11,15,3.464497034746847e-11,2.3457037893634188e-11,0.0,24319509679.704746,3.422524251994841e-11,4.8649312029671775e-11,2.5890581558676095e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,11,16,3.4644970347468476e-11,2.3457037893634188e-11,0.0,30428826829.23148,2.4547500945542694e-11,4.240245438748245e-11,3.93628842755861e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,11,17,3.4655061986482285e-11,2.3457037893634188e-11,0.0,58137357325.40928,5.819314070151887e-12,3.506986757435284e-11,9.58039298335702e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,11,18,4.2671145828281844e-11,3.765320892534231e-11,-0.5773502691896257,39045879527.894875,1.2101900063206414e-11,4.432712566965798e-11,1.2158152914912683e-22
